ID,名称,销售数量,Steam价格,最低售价,价格比例
34483,沙漠之鹰 | 都市瓦砾 (破损不堪),133,0.46,2.8,6.08695652173913
775790,双持贝瑞塔 | 翡翠色调 (崭新出厂),90,41.41,214,5.1678338565563875
35943,P2000 | 至尊威龙 (久经沙场),196,4.44,22.89,5.155405405405405
900612,格洛克 18 型（StatTrak™） | 冬季战术 (破损不堪),105,0.25,1.08,4.32
900598,格洛克 18 型（StatTrak™） | 冬季战术 (战痕累累),120,0.26,1.02,3.923076923076923
857539,R8 左轮手枪 | 废物王 (破损不堪),108,0.24,1.22,5.083333333333333
39201,P2000（StatTrak™） | 至高帝皇 (崭新出厂),126,2.56,12.9,5.0390625
871550,USP 消音版 | 黑莲花 (崭新出厂),192,12.01,54.9,4.571190674437968
857570,CZ75（StatTrak™） | 短趾雕 (略有磨损),141,1.31,7.07,5.396946564885496
762162,USP 消音版 | 引擎故障灯 (崭新出厂),1043,1.7,8.9,5.235294117647059
967982,Tec-9 | 虎纹模板 (久经沙场),356,0.28,1.3,4.642857142857142
